Date,Symbol,Adj Close,Close,High,Low,Open,Volume
2024-12-21,ABBV,175.76619689950067,175.72992134972688,177.15084796086992,170.66617075811553,171.74339991784035,11955302.714590328
2024-12-21,ABT,114.14514003454627,114.14288907502188,115.33827849386424,112.61068046197866,112.66978398834148,8448567.749665169
2024-12-21,ADM,50.44854064461119,50.44692184023983,51.092611392829966,49.24524894543615,49.41395742965492,7100820.637616949
2024-12-21,AES,12.97804391536964,12.974823883641193,13.191525959753228,12.373732462350812,12.349037012473651,18501419.7707154
2024-12-21,AJG,282.9294599704352,282.9178456034543,286.8155947225422,277.0004879074042,279.5060397409306,2080109.2250168808
2024-12-21,ALB,88.59120384698805,88.59712317034352,90.21629773653322,87.2881718328314,88.04820404902124,2735694.8918933
2024-12-21,ALL,193.42491679356448,193.4172730338626,195.08917257617213,187.41084044245008,188.55837213838907,1886161.405345162
2024-12-21,ALLE,132.16104112722965,132.1606896678111,132.67450263570288,130.12980675667268,130.27719277170206,1386423.5493183753
2024-12-21,AMP,531.8523484731027,531.8286282837727,536.2398725075775,520.8117807169439,521.2228595463534,950143.1812815168
2024-12-21,AMZN,224.8556646049984,224.8556646049984,226.3399140278728,218.241575746974,220.24383725946447,66541647.728675336
2024-12-21,ANET,112.69365671161884,112.69365671161884,114.6676048418863,106.81552198632436,107.71783498341628,8991777.713960093
2024-12-21,ANSS,338.1636125274017,338.1636125274017,340.4457864527036,331.5326244212076,331.8083281977495,682051.248908159
2024-12-21,AOS,68.71555889495042,68.71578387364794,69.35506524213146,68.04428901697,68.23477619986643,1552977.7263192807
2024-12-21,APH,70.61794002265934,70.6191574283649,71.15415284036285,68.85355138948485,69.49098410964454,9265347.4841653
2024-12-21,AXON,632.0213652908675,632.0213652908675,633.6344797753419,604.5153364181342,605.5109650464107,3550405.0051623
2024-12-21,AXP,298.6285831739431,298.62783653554504,303.1971299594871,291.72980927376034,292.2682947819492,4291615.391181779
2024-12-21,BAX,29.44671179881669,29.446904571654624,29.988477256869214,29.203180949171085,29.33949728271939,8644222.170199722
2024-12-21,BBY,85.567487100868,85.58103592788693,85.90446474369577,83.40382335853178,83.87001086584503,4087293.436925856
2024-12-21,BDX,227.4914755789422,227.4980543277866,229.822452943816,223.59856984938432,223.9860931434836,2624060.862010167
2024-12-21,BEN,20.4994743534452,20.48097612999681,20.96721342642361,19.93498125202485,19.982275568788253,6346182.510248513
2024-12-21,BK,77.57943023811293,77.57724041651466,78.06062416496849,76.09312821256594,76.8772917195547,8349996.874733946
2024-12-21,BKR,40.32770631170083,40.31934847087402,40.4241376811126,39.29674715029133,39.35395180025263,11134556.761012323
2024-12-21,BLDR,150.46407634884332,150.46407634884332,151.50261470586074,145.9710935532867,146.2914689946615,2315281.8477216763
2024-12-21,BRO,102.90379156049616,102.90320050506357,103.97504197388687,101.9641808547377,102.201673353821,1696257.1763441633
2024-12-21,BSX,88.96530623108268,88.96530623108268,89.70052089291472,87.28146462384325,88.03996375008019,9205128.323107734
2024-12-21,BWA,31.882378890677053,31.88317384272143,32.0464337902892,31.247077500430752,31.284317232903376,4097780.195549167
2024-12-21,C,69.18362530428912,69.18380207354082,70.2788522317784,68.00609562762696,68.3020621439587,21051343.07727373
2024-12-21,CAT,365.7825786530377,365.8013418221004,372.69789515906297,356.8283089201888,358.19351915062526,3348485.349423942
2024-12-21,CCL,26.81290296439531,26.796497471189912,27.290154940883408,25.49899781466492,25.778942717590446,40992049.12650227
2024-12-21,CE,68.23388505089981,68.23847697420814,68.6157396719574,66.72439861626081,66.74370919972988,4723313.266268871
2024-12-21,CLX,164.50689044337088,164.5102608918691,164.97735049304433,163.19128916699424,164.60348631796356,2499941.30477602
2024-12-21,CMCSA,38.14881804598871,38.1450158409608,38.35387677744049,37.317809099415896,37.66238352079126,37727848.62318064
2024-12-21,CME,238.31772142326045,238.3161142642724,240.3363847219646,235.53754129836005,236.9390450956722,2726515.565816328
2024-12-21,COF,178.54990121244498,178.5589885840153,180.88556185391064,174.25224485651788,175.12651429597832,3839253.756438593
2024-12-21,CRM,343.7056770043616,343.7115258700658,346.90399467679015,330.8427892793766,332.59563577946574,10712906.384174898
2024-12-21,CSCO,58.465765115054666,58.46456416256917,58.83545036962764,57.26632901773371,57.57946415067553,41055374.14530072
2024-12-21,CSGP,71.36943408867326,71.36943408867326,71.83119667786028,69.60927028574537,70.18787835749384,3694144.961473109
2024-12-21,CVX,142.80781732903486,142.7964329863169,142.65648919683363,140.5328177189637,140.80363042521637,20385881.73588377
2024-12-21,DE,432.515244454779,432.51205998998137,437.3046152181346,426.2269615215204,425.9012467674765,1741335.0842712177
2024-12-21,DELL,116.05698428978084,116.05322457193628,116.89146428606072,110.02033756288792,110.2107859906728,10653540.95563782
2024-12-21,DFS,173.12331254582625,173.1248983522659,175.58267780509738,168.58690737335317,168.52026309187892,2643450.5244928976
2024-12-21,DG,76.34958769935515,76.34782426504005,76.90716218068063,73.91318281946955,73.81603701051006,4801779.544124562
2024-12-21,DHI,139.52685853116606,139.533896211381,140.86530769155962,137.4169207744073,138.02898456490013,5256757.195882519
2024-12-21,DIS,112.0008001185934,112.00118499230804,112.97727764508248,110.36471906183844,110.64879466323856,13902155.708674958
2024-12-21,DLR,178.74200315350285,178.75882614340134,181.62753686156532,175.72033050178592,176.86758246653295,3091342.93657064
2024-12-21,DOV,189.2692969191551,189.2324839373724,190.7505720395845,187.40023018134968,188.5500841272277,1512961.3123089392
