Symbol,Shortname,Revenuegrowth,Ebitda,Marketcap,Weight,Volatility,Average Close Price,Return,Average Volume,TOPSIS Score,Rank
NVDA,NVIDIA Corporation,1.0,0.4518175821979716,1.0,1.0,0.1248465971869623,0.0725543563109692,1.0,1.0,0.7242247296077529,1
MSFT,Microsoft Corporation,0.3504273504273504,1.0,0.983980203876144,0.9839802038761444,0.2123755226207475,0.3085863759183959,0.3125288045772665,0.0539004349983139,0.6997693757717793,2
GOOG,Alphabet Inc.,0.3449328449328449,0.9048492277211422,0.7122634667205335,0.7122634667205333,0.094512855191225,0.1158280958170778,0.3997344724248698,0.0516084605306111,0.6264474792899185,3
AMZN,"Amazon.com, Inc.",0.3199023199023199,0.818390239713908,0.7163374192279366,0.7163374192279361,0.1148826053678282,0.1306154517756391,0.4496361685753838,0.1078333400543889,0.6204312706099396,4
META,"Meta Platforms, Inc.",0.3681318681318681,0.5829207917485197,0.4467075096546494,0.4467075096546491,0.393279702124398,0.3750385577176343,0.5302573881848709,0.0384888230374821,0.4624602849803155,5
TSLA,"Tesla, Inc.",0.3003663003663003,0.103130263153628,0.4084826098264515,0.408482609826452,0.3040403315498138,0.1624609976083796,0.5323355039830234,0.2488231903174474,0.38202498170510885,6
ORCL,Oracle Corporation,0.2948717948717949,0.1653833842096442,0.1420364860149593,0.1420364860149586,0.0804435817463213,0.0970894934646757,0.5049312179299177,0.0216706626735037,0.33841404792190116,7
CRM,"Salesforce, Inc.",0.304029304029304,0.0747712352590548,0.0977877977073573,0.0977877977073568,0.1945457345257066,0.2040520754731603,0.3823570587213007,0.0165018417253363,0.29844531994898044,8
PARA,Paramount Global,0.2185592185592185,0.0295306154308253,0.000189589247692,0.0001895892476916,0.0042205881488891,0.0,0.1270126510295015,0.0376280893389342,0.3134237038625753,9
FOX,Fox Corporation,0.3205128205128205,0.0288105472813527,0.0045473659283814,0.0045473659283808,0.009836519742052,0.0169134163140733,0.5165545773976785,0.0025415689217149,0.31789709041673264,10
MCD,McDonald's Corporation,0.2692307692307693,0.1075052172793524,0.0615973905253348,0.0615973905253347,0.1297446312474884,0.2025272684102029,0.231050156573376,0.0087449014570384,0.30681374274021905,11
CVX,Chevron Corporation,0.2136752136752136,0.29004963856957,0.0752523343846776,0.0752523343846768,0.0717992137154699,0.1061682891639188,0.2184509378176453,0.0201655104698849,0.3354074929240877,12
MRK,"Merck & Company, Inc.",0.2796092796092796,0.173565965476056,0.0732294733833694,0.0732294733833685,0.0567741085368056,0.0799624900824695,0.1803307370619435,0.024247847136728,0.32819820399774746,13
CSCO,"Cisco Systems, Inc.",0.2185592185592185,0.1068251577778327,0.0686848648068307,0.0686848648068301,0.014432320719971,0.0292863190075162,0.3046108749024384,0.0502370561649953,0.32754307936282434,14
IRM,Iron Mountain Incorporated (Del,0.3272283272283273,0.0213624301648626,0.0072514328177255,0.0072514328177257,0.0565398434298265,0.0620193511250062,0.4628968685249895,0.0038668986406771,0.30903321954853236,15
BSX,Boston Scientific Corporation,0.3705738705738706,0.0363530758322045,0.0377069849135469,0.0377069849135462,0.0287533227084401,0.0489221799775859,0.4656407205256942,0.0153205405426104,0.3222638571754426,16
DIS,Walt Disney Company (The),0.2753357753357753,0.1286381102321147,0.0595132207514663,0.0595132207514661,0.0496194267954994,0.0681950410009978,0.3370699354655004,0.0279868354560007,0.3233011674670529,17
ANET,"Arista Networks, Inc.",0.3748473748473748,0.0274092670565678,0.0410535564660337,0.0410535564660336,0.0702550141120857,0.0538743514208267,0.6400666026636744,0.0226887332142751,0.3145965035163413,18
PEP,"Pepsico, Inc.",0.2490842490842491,0.129816409322867,0.0615627593807111,0.0615627593807112,0.0697037849896533,0.1176106646151339,0.1878789654684112,0.014275446664586,0.3186073665574239,19
BEN,"Franklin Resources, Inc.",0.3217338217338217,0.0190816337266523,0.0011435143108834,0.0011435143108829,0.0076128502141875,0.0088670277703296,0.1097235957642425,0.0101943322974709,0.3164583998679244,20
INCY,Incyte Corporation,0.398046398046398,0.0073866508006784,0.0019107511939916,0.001910751193991,0.0417529003049333,0.0390135696728446,0.2592725724406079,0.0057910723945743,0.31363055243833254,21
V,Visa Inc.,0.3241758241758242,0.1884401034356961,0.1847797498054964,0.1847797498054964,0.1129710228706952,0.2027962144457173,0.3337841374232557,0.0178854021856405,0.34872654989387303,22
ABBV,AbbVie Inc.,0.2759462759462759,0.1932187227918861,0.0921378643296004,0.0921378643296004,0.0943400900563964,0.1238643724604997,0.2791489315528482,0.0143058586711978,0.32652540572343075,23
NFLX,"Netflix, Inc.",0.3443223443223443,0.0793672899056767,0.1159259169414439,0.1159259169414442,0.4826601171905213,0.4959970043578891,0.6365196493702446,0.009081971580463,0.2543834705049731,24
WELL,Welltower Inc.,0.4285714285714285,0.0281171149446491,0.0214591597740351,0.0214591597740352,0.0511647713399212,0.0735306911624428,0.399129253122878,0.0067950806477714,0.31827761031185076,25
PWR,"Quanta Services, Inc.",0.3473748473748473,0.020395052078167,0.0126085157699686,0.0126085157699679,0.2059055067329775,0.1939082375125013,0.478993062137526,0.0020154926055124,0.2807674160010514,26
MO,"Altria Group, Inc.",0.2606837606837607,0.0956531985598074,0.02560168274414,0.0256016827441391,0.0116043538797751,0.0263547919103997,0.3624668812207441,0.0248735976948671,0.32200284416179475,27
